time,open,high,low,close
2017-06-27,1244.21,1253.1,1241.38,1247.07
2017-06-28,1246.28,1254.5,1246.26,1249.09
2017-06-29,1248.7,1253.17,1239.83,1245.2
2017-06-30,1244.08,1248.22,1239.25,1241.72
2017-07-03,1241.71,1242.67,1218.48,1220.18
2017-07-04,1220.5,1226.51,1220.29,1222.35
2017-07-05,1223.93,1228.83,1217.45,1226.76
2017-07-06,1226.9,1229.26,1222.52,1225.02
2017-07-07,1225.04,1228.38,1207.3,1212.3
2017-07-10,1212.09,1215.51,1204.83,1214.13
2017-07-11,1214.11,1217.41,1208.21,1217.26
2017-07-12,1216.3,1225.7,1213.47,1220.33
2017-07-13,1218.69,1224.42,1216.53,1217.38
2017-07-14,1216.68,1232.83,1214.76,1228.99
2017-07-17,1228.87,1236.05,1228.23,1233.93
2017-07-18,1234.05,1244.55,1232.82,1242.35
2017-07-19,1242.32,1244.05,1235.88,1241.12
2017-07-20,1239.52,1247.54,1235.31,1244.47
2017-07-21,1243.91,1255.71,1243.44,1254.64
2017-07-24,1255.17,1258.8,1251.95,1255.15
2017-07-25,1254.75,1257.76,1249.13,1249.84
2017-07-26,1249.39,1263.51,1243.78,1260.8
2017-07-27,1259.77,1265.24,1254.55,1258.93
2017-07-28,1258.47,1270.85,1257.35,1269.05
2017-07-31,1270.14,1271.1,1265.77,1269.4
2017-08-01,1268.78,1274.1,1262.71,1268.78
2017-08-02,1268.59,1272.8,1262.88,1266.54
2017-08-03,1266.27,1270.82,1256.64,1268.5
2017-08-04,1269.02,1270.18,1254.22,1258.84
2017-08-07,1258.37,1259.94,1255.8,1257.77
2017-08-08,1256.97,1265.23,1251.54,1260.85
2017-08-09,1260.34,1278.74,1260.11,1277.24
2017-08-10,1277.31,1287.85,1274.68,1286.35
2017-08-11,1286.65,1292.06,1281.33,1290.42
2017-08-14,1290.25,1290.25,1278.64,1281.76
2017-08-15,1281.42,1281.97,1267.33,1271.36
2017-08-16,1271.16,1283.85,1267.8,1283.08
2017-08-17,1283.87,1290.16,1281.83,1287.92
2017-08-18,1287.87,1300.83,1283.49,1285.05
2017-08-21,1283.61,1293.82,1280.62,1291.91
2017-08-22,1291.12,1292.51,1282.04,1284.99
2017-08-23,1284.7,1291.38,1282.82,1290.68
2017-08-24,1290.4,1291.23,1284.56,1286.28
2017-08-25,1286.09,1294.64,1276.37,1291.24
2017-08-28,1292.19,1312.06,1291.89,1309.88
2017-08-29,1314.96,1326.04,1305.01,1309.53
2017-08-30,1309.17,1313.72,1305.2,1308.73
2017-08-31,1308.72,1323.63,1299.08,1321.35
2017-09-01,1321.13,1328.85,1316.45,1324.88
2017-09-04,1334.53,1339.86,1331.87,1334.01
2017-09-05,1333.79,1344.38,1326.36,1339.67
2017-09-06,1339.03,1342.49,1331.67,1334.11
2017-09-07,1334.06,1349.91,1332.61,1349.04
2017-09-08,1348.33,1357.54,1342.79,1346.56
2017-09-11,1336.96,1340.07,1326.42,1327.55
2017-09-12,1327.02,1332.17,1322.68,1331.91
2017-09-13,1331.83,1334.67,1320.88,1323.14
2017-09-14,1323.37,1330.71,1315.76,1329.46
2017-09-15,1329.25,1334.4,1319.73,1320.58
2017-09-18,1319.23,1319.97,1304.69,1307.51
2017-09-19,1306.38,1311.72,1305.24,1311.12
2017-09-20,1310.92,1316.03,1296.06,1301.18
2017-09-21,1301.13,1301.75,1288.2,1291.34
2017-09-22,1290.93,1298.74,1290.9,1296.98
2017-09-25,1297.72,1311.88,1289.41,1310.6
2017-09-26,1310.17,1313.66,1292.21,1293.72
2017-09-27,1293.42,1296.22,1281.5,1282.8
2017-09-28,1282.12,1288.77,1277.79,1287.41
2017-09-29,1287.13,1290.36,1276.23,1279.42
