time,open,high,low,close
2020-07-06,1773.39,1817.94,1769.97,1798.73
2020-07-13,1797.26,1815.03,1790.43,1809.67
2020-07-20,1808.53,1906.51,1805.68,1901.8
2020-07-27,1901.35,1983.26,1899.59,1974.72
2020-08-03,1978.45,2075.21,1960.49,2032.46
2020-08-10,2033.74,2049.88,1862.58,1943.13
2020-08-17,1946.5,2015.45,1911.46,1938.38
2020-08-24,1940.15,1976.66,1902.76,1964.49
2020-08-31,1965.46,1992.4,1916.4,1933.07
2020-09-07,1929.83,1966.53,1906.43,1940.43
2020-09-14,1940.41,1973.46,1932.84,1950.34
2020-09-21,1949.44,1955.59,1848.72,1859.87
2020-09-28,1859,1917.05,1848.63,1900.53
2020-10-05,1904.8,1930.45,1872.85,1929.68
2020-10-12,1928.73,1933.17,1882.42,1898.74
2020-10-19,1899.66,1931.37,1894.28,1901.54
2020-10-26,1902.62,1911.34,1859.94,1878.22
2020-11-02,1877,1960.35,1873.43,1951.57
2020-11-09,1954.97,1965.48,1850.52,1886.99
2020-11-16,1889.86,1899.09,1852.72,1873.35
2020-11-23,1870.6,1876.11,1774.32,1786.82
2020-11-30,1786.12,1848.16,1764.31,1836.19
2020-12-07,1836.85,1875.27,1822.11,1838.84
2020-12-14,1840.69,1896.22,1819.06,1880.34
2020-12-21,1885.55,1906.72,1855.07,1878.59
2020-12-28,1882.38,1900.82,1869.1,1900.49
2021-01-04,1903.24,1959.3,1828.28,1848.38
2021-01-11,1848.09,1863.69,1817.08,1826.4
2021-01-18,1828.3,1875.1,1801.31,1854.55
2021-01-25,1854.01,1875.63,1831.31,1844.31
2021-02-01,1863.14,1871.76,1785.06,1810.17
2021-02-08,1816.59,1855.37,1807.79,1819.4
2021-02-15,1824.67,1827.02,1760.64,1781.64
2021-02-22,1782.19,1816.03,1717.26,1730.59
2021-03-01,1733.46,1759.84,1687.38,1699.19
2021-03-08,1702.51,1739.88,1676.83,1724.25
2021-03-15,1726.9,1755.52,1719.23,1745.5
2021-03-22,1745.03,1746.88,1721.62,1732.46
2021-03-29,1730.86,1733.08,1677.88,1729.83
2021-04-05,1728.51,1758.67,1721.57,1743.46
2021-04-12,1741.53,1783.88,1723.72,1776.75
2021-04-19,1776.17,1797.85,1763.66,1776.56
2021-04-26,1775.73,1789.95,1756.14,1769
2021-05-03,1767.96,1843.3,1766.04,1830.71
2021-05-10,1832.23,1846.05,1808.79,1842.62
2021-05-17,1842.4,1890,1840.47,1881.51
2021-05-24,1881.65,1912.74,1872.69,1903.4
2021-05-31,1902.31,1916.57,1855.83,1891.71
2021-06-07,1889.91,1903.76,1869.96,1876.32
